"period","location","stateDescription","sectorid","sectorDescription","fueltypeid","fuelTypeDescription","ash.content.units","consumption.for.eg.btu","consumption.for.eg.btu.units","consumption.uto.btu","consumption.uto.btu.units","generation","generation.units","total.consumption.btu","total.consumption.btu.units","consumption_gwh","ratio"
2003-02-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.18236,"million MMBtu",0,"million MMBtu",17.80727,"thousand megawatthours",0.18236,"million MMBtu",53.306050862321,2.9934993327063
2003-02-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",29.27169,"million MMBtu",0.01136,"million MMBtu",1592.73675,"thousand megawatthours",29.28305,"million MMBtu",8559.79245834551,5.3742669391822
2003-02-01,"CA","California",98,"Electric Power","NG","natural gas","percent",47.673,"million MMBtu",4.904,"million MMBtu",5381.339,"thousand megawatthours",52.577,"million MMBtu",15368.8979830459,2.85596168222182
2003-02-01,"CA","California",98,"Electric Power","WND","wind","percent",1.97853,"million MMBtu",0,"million MMBtu",193.197,"thousand megawatthours",1.97853,"million MMBtu",578.348436129787,2.99356841011914
2003-01-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",31.4717,"million MMBtu",0.01738,"million MMBtu",1658.5758,"thousand megawatthours",31.49009,"million MMBtu",9204.93715287927,5.54990441370197
2003-01-01,"CA","California",98,"Electric Power","WND","wind","percent",1.11897,"million MMBtu",0,"million MMBtu",109.264,"thousand megawatthours",1.11897,"million MMBtu",327.088570593394,2.99356211188858
2003-01-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.13511,"million MMBtu",0,"million MMBtu",13.19301,"thousand megawatthours",0.13511,"million MMBtu",39.4942999123063,2.99357765303796
2003-01-01,"CA","California",98,"Electric Power","NG","natural gas","percent",48.336,"million MMBtu",5.548,"million MMBtu",5515.234,"thousand megawatthours",53.883,"million MMBtu",15750.6577024262,2.85584577235094
2002-12-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.04369,"million MMBtu",0,"million MMBtu",4.295,"thousand megawatthours",0.04369,"million MMBtu",12.7711195556855,2.97348534474633
2002-12-01,"CA","California",98,"Electric Power","WND","wind","percent",1.51522,"million MMBtu",0,"million MMBtu",148.945,"thousand megawatthours",1.51522,"million MMBtu",442.917275650395,2.97369683876864
2002-12-01,"CA","California",98,"Electric Power","NG","natural gas","percent",53.852,"million MMBtu",5.243,"million MMBtu",5969.363,"thousand megawatthours",59.095,"million MMBtu",17274.1888336744,2.89380773688488
2002-12-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",32.31491,"million MMBtu",0.02418,"million MMBtu",1652.7948,"thousand megawatthours",32.3391,"million MMBtu",9453.11312481731,5.71947172438908
2002-11-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",31.42752,"million MMBtu",0.01884,"million MMBtu",1641.73548,"thousand megawatthours",31.44635,"million MMBtu",9192.15141771412,5.59904535760786
2002-11-01,"CA","California",98,"Electric Power","WND","wind","percent",1.60702,"million MMBtu",0,"million MMBtu",157.969,"thousand megawatthours",1.60702,"million MMBtu",469.751534638994,2.97369442510236
2002-11-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.28639,"million MMBtu",0,"million MMBtu",28.152,"thousand megawatthours",0.28639,"million MMBtu",83.7152879275066,2.97368882947949
2002-11-01,"CA","California",98,"Electric Power","NG","natural gas","percent",48.144,"million MMBtu",4.912,"million MMBtu",5353.431,"thousand megawatthours",53.055,"million MMBtu",15508.6232095878,2.89695023800397
2002-10-01,"CA","California",98,"Electric Power","NG","natural gas","percent",53.165,"million MMBtu",5.269,"million MMBtu",5762.683,"thousand megawatthours",58.435,"million MMBtu",17081.2627886583,2.96411633064985
2002-10-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",33.8078,"million MMBtu",0.02086,"million MMBtu",1820.18568,"thousand megawatthours",33.82866,"million MMBtu",9888.52966968722,5.4327038050795
2002-10-01,"CA","California",98,"Electric Power","WND","wind","percent",2.89332,"million MMBtu",0,"million MMBtu",284.412,"thousand megawatthours",2.89332,"million MMBtu",845.752703887752,2.97368853595401
2002-10-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.31459,"million MMBtu",0,"million MMBtu",30.924,"thousand megawatthours",0.31459,"million MMBtu",91.9584916691026,2.97369330193709
2002-09-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",33.37043,"million MMBtu",0.02161,"million MMBtu",1823.53368,"thousand megawatthours",33.39304,"million MMBtu",9761.19263373283,5.35289956022793
2002-09-01,"CA","California",98,"Electric Power","WND","wind","percent",2.99902,"million MMBtu",0,"million MMBtu",294.802,"thousand megawatthours",2.99902,"million MMBtu",876.650102309266,2.97369116325285
2002-09-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.53478,"million MMBtu",0,"million MMBtu",52.569,"thousand megawatthours",0.53478,"million MMBtu",156.322712657118,2.97366723082269
2002-09-01,"CA","California",98,"Electric Power","NG","natural gas","percent",71.372,"million MMBtu",5.531,"million MMBtu",7642.63,"thousand megawatthours",76.903,"million MMBtu",22479.6843028354,2.94135452100068
